"Index","Date","Open","High","Low","Close","Volume"
2016-03-09 10:14:00,"20160309 101400","72438.0000000","72493.0000000","72404.0000000","72463.0000000","10387"
2016-03-09 10:29:00,"20160309 102900","72489.0000000","72520.0000000","72483.0000000","72496.0000000","3931"
2016-03-09 10:44:00,"20160309 104400","72523.0000000","72523.0000000","72503.0000000","72506.0000000","1014"
2016-03-09 10:59:00,"20160309 105900","72488.0000000","72492.0000000","72467.0000000","72484.0000000","3213"
2016-03-09 11:14:00,"20160309 111400","72634.0000000","72648.0000000","72612.0000000","72628.0000000","7131"
2016-03-09 11:29:00,"20160309 112900","72523.0000000","72586.0000000","72521.0000000","72565.0000000","7244"
2016-03-09 11:44:00,"20160309 114400","72767.0000000","72790.0000000","72758.0000000","72788.0000000","6608"
2016-03-09 11:59:00,"20160309 115900","72719.0000000","72730.0000000","72708.0000000","72718.0000000","1776"
2016-03-09 12:14:00,"20160309 121400","72550.0000000","72568.0000000","72540.0000000","72553.0000000","4060"
2016-03-09 12:29:00,"20160309 122900","72377.0000000","72378.0000000","72336.0000000","72362.0000000","8453"
2016-03-09 12:44:00,"20160309 124400","72347.0000000","72380.0000000","72336.0000000","72354.0000000","7166"
2016-03-09 12:59:00,"20160309 125900","72425.0000000","72439.0000000","72351.0000000","72388.0000000","17668"
2016-03-09 13:14:00,"20160309 131400","72339.0000000","72366.0000000","72336.0000000","72347.0000000","2729"
2016-03-09 13:29:00,"20160309 132900","72245.0000000","72285.0000000","72218.0000000","72277.0000000","3319"
2016-03-09 13:44:00,"20160309 134400","72283.0000000","72286.0000000","72222.0000000","72223.0000000","4462"
2016-03-09 13:59:00,"20160309 135900","72298.0000000","72329.0000000","72297.0000000","72326.0000000","1634"
2016-03-09 14:14:00,"20160309 141400","72249.0000000","72310.0000000","72249.0000000","72305.0000000","3444"
2016-03-09 14:29:00,"20160309 142900","72338.0000000","72356.0000000","72329.0000000","72347.0000000","4801"
2016-03-09 14:44:00,"20160309 144400","72111.0000000","72157.0000000","72105.0000000","72145.0000000","5683"
2016-03-09 14:59:00,"20160309 145900","72130.0000000","72142.0000000","72104.0000000","72116.0000000","1596"
2016-03-09 15:14:00,"20160309 151400","72034.0000000","72064.0000000","71995.0000000","72006.0000000","13865"
2016-03-09 15:29:00,"20160309 152900","71989.0000000","72020.0000000","71979.0000000","71999.0000000","5264"
2016-03-09 15:44:00,"20160309 154400","71860.0000000","71873.0000000","71831.0000000","71838.0000000","3917"
2016-03-09 15:59:00,"20160309 155900","71962.0000000","71995.0000000","71958.0000000","71968.0000000","6661"
2016-03-09 16:14:00,"20160309 161400","71961.0000000","71962.0000000","71936.0000000","71938.0000000","2000"
