"Index","SPFB.BR.Open","SPFB.BR.High","SPFB.BR.Low","SPFB.BR.Close","SPFB.BR.Volume"
2015-09-01 10:00:00,52.9,53.08,52.67,52.95,24511
2015-09-01 10:15:00,52.95,53.12,52.73,52.77,25222
2015-09-01 10:30:00,52.77,52.83,52.57,52.6,32952
2015-09-01 10:45:00,52.61,52.63,52.07,52.14,29298
2015-09-01 11:00:00,52.12,52.31,52.1,52.26,11742
2015-09-01 11:15:00,52.27,52.27,51.76,51.96,19856
2015-09-01 11:30:00,51.96,52.14,51.79,52.14,11992
2015-09-01 11:45:00,52.14,52.26,52.08,52.16,17218
2015-09-01 12:00:00,52.16,52.76,52.16,52.67,15405
2015-09-01 12:15:00,52.69,52.7,52.44,52.52,15095
2015-09-01 12:30:00,52.53,52.9,52.51,52.86,9631
2015-09-01 12:45:00,52.86,53.21,52.83,52.94,20794
2015-09-01 13:00:00,52.95,53.18,52.85,53.06,7954
2015-09-01 13:15:00,53.06,53.46,53.03,53.29,17704
2015-09-01 13:30:00,53.3,53.51,52.94,53.09,19005
2015-09-01 13:45:00,53.1,53.14,52.75,52.86,15965
2015-09-01 14:00:00,52.85,52.9,52.63,52.69,7663
2015-09-01 14:15:00,52.7,52.98,52.69,52.89,7236
2015-09-01 14:30:00,52.89,52.96,52.39,52.46,19478
2015-09-01 14:45:00,52.45,52.64,52.24,52.24,9361
2015-09-01 15:00:00,52.26,52.38,52.15,52.15,12481
2015-09-01 15:15:00,52.14,52.39,51.91,52.24,18755
2015-09-01 15:30:00,52.25,52.42,51.88,51.99,23802
2015-09-01 15:45:00,52,52.24,51.64,51.83,28123
2015-09-01 16:00:00,51.83,52.46,51.8,52.27,32692
2015-09-01 16:15:00,52.26,52.33,51.86,52,18049
2015-09-01 16:30:00,52.01,52.25,51.83,52.13,23102
2015-09-01 16:45:00,52.12,52.28,51.86,51.94,15239
2015-09-01 17:00:00,51.95,51.96,51.22,51.55,40454
2015-09-01 17:15:00,51.54,51.93,51.17,51.3,37110
2015-09-01 17:30:00,51.31,51.5,50.76,50.87,39537
2015-09-01 17:45:00,50.89,51.11,50.47,50.51,25152
2015-09-01 18:00:00,50.49,51.03,50.46,50.95,31577
2015-09-01 18:15:00,50.94,50.94,50.3,50.3,34114
2015-09-01 18:30:00,50.3,50.37,50.21,50.21,14907
2015-09-01 19:00:00,50.21,50.49,49.9,50.11,17670
2015-09-01 19:15:00,50.13,50.68,50.11,50.24,28833
2015-09-01 19:30:00,50.24,50.56,50.17,50.36,13921
2015-09-01 19:45:00,50.36,50.48,49.96,50.17,16607
2015-09-01 20:00:00,50.18,50.44,50.04,50.11,14154
2015-09-01 20:15:00,50.13,50.33,49.9,49.97,14104
2015-09-01 20:30:00,49.98,50.24,49.93,50.2,11442
2015-09-01 20:45:00,50.19,50.57,50.1,50.36,14861
2015-09-01 21:00:00,50.34,51.37,50.2,51.19,40752
2015-09-01 21:15:00,51.18,51.19,49.5,49.61,64961
2015-09-01 21:30:00,49.61,49.76,49.26,49.47,25730
2015-09-01 21:45:00,49.46,49.6,49.39,49.57,13232
2015-09-01 22:00:00,49.57,49.59,49.47,49.47,6721
2015-09-01 22:15:00,49.46,49.54,49.24,49.26,5870
2015-09-01 22:30:00,49.26,49.29,49.07,49.11,7719
2015-09-01 22:45:00,49.1,49.39,49.09,49.32,7694
2015-09-01 23:00:00,49.32,49.38,49.25,49.38,2978
2015-09-01 23:15:00,49.38,49.53,49.38,49.5,4506
2015-09-01 23:30:00,49.48,49.48,48.73,48.79,17703
2015-09-01 23:45:00,48.76,48.76,48.58,48.62,4782
2015-09-02 10:00:00,48.66,49.07,48.66,48.97,18669
2015-09-02 10:15:00,48.99,49.25,48.85,49.08,15347
2015-09-02 10:30:00,49.09,49.44,49.09,49.13,17555
2015-09-02 10:45:00,49.11,49.11,48.59,48.78,16478
2015-09-02 11:00:00,48.78,48.88,48.56,48.8,14554
2015-09-02 11:15:00,48.81,48.85,48.55,48.58,10360
2015-09-02 11:30:00,48.6,48.94,48.53,48.76,11480
2015-09-02 11:45:00,48.74,48.89,48.68,48.85,10980
2015-09-02 12:00:00,48.86,48.96,48.73,48.84,8415
2015-09-02 12:15:00,48.84,49.15,48.77,49.05,10704
2015-09-02 12:30:00,49.04,49.04,48.85,48.95,6245
2015-09-02 12:45:00,48.94,49.1,48.89,48.89,7623
2015-09-02 13:00:00,48.89,48.99,48.85,48.86,5338
2015-09-02 13:15:00,48.86,48.96,48.71,48.76,7051
2015-09-02 13:30:00,48.74,48.75,48.56,48.62,10894
2015-09-02 13:45:00,48.62,48.71,48.45,48.54,15802
2015-09-02 14:00:00,48.54,48.83,48.53,48.79,8936
2015-09-02 14:15:00,48.8,48.96,48.72,48.91,11279
2015-09-02 14:30:00,48.91,49.29,48.87,49,30156
2015-09-02 14:45:00,49.01,49.13,48.9,48.95,8835
2015-09-02 15:00:00,48.94,48.98,48.79,48.94,12244
2015-09-02 15:15:00,48.93,49.11,48.85,49.08,13255
2015-09-02 15:30:00,49.1,49.3,49.02,49.26,19828
2015-09-02 15:45:00,49.25,49.76,49.13,49.47,48027
2015-09-02 16:00:00,49.47,50.23,49.47,49.99,37508
2015-09-02 16:15:00,49.98,50.76,49.92,50.61,37278
2015-09-02 16:30:00,50.61,50.62,49.67,49.91,43934
2015-09-02 16:45:00,49.91,50.38,49.63,49.81,31001
2015-09-02 17:00:00,49.81,49.99,49.73,49.91,18623
2015-09-02 17:15:00,49.9,49.97,49.61,49.8,17023
2015-09-02 17:30:00,49.8,49.8,48.69,49.06,75429
2015-09-02 17:45:00,49.07,49.09,48.43,48.69,58379
2015-09-02 18:00:00,48.7,49.17,48.67,49.03,29603
2015-09-02 18:15:00,49.03,49.04,48.5,48.5,30814
2015-09-02 18:30:00,48.52,48.69,48.32,48.43,31908
