"Index","SPFB.RTS.Open","SPFB.RTS.High","SPFB.RTS.Low","SPFB.RTS.Close","SPFB.RTS.Volume"
2015-09-01 10:00:00,84310,84310,82980,83310,53470
2015-09-01 10:15:00,83300,83600,82660,82760,58242
2015-09-01 10:30:00,82770,82870,82370,82400,43285
2015-09-01 10:45:00,82410,82460,82040,82090,33696
2015-09-01 11:00:00,82100,82540,82080,82460,28548
2015-09-01 11:15:00,82460,82510,81680,82060,37673
2015-09-01 11:30:00,82070,82270,81850,82270,17976
2015-09-01 11:45:00,82270,82550,82260,82460,24781
2015-09-01 12:00:00,82460,82760,82340,82650,28170
2015-09-01 12:15:00,82660,82670,82260,82350,21085
2015-09-01 12:30:00,82370,82780,82250,82710,27009
2015-09-01 12:45:00,82700,83230,82680,82900,43371
2015-09-01 13:00:00,82880,83080,82640,82920,16781
2015-09-01 13:15:00,82920,83120,82830,82980,13779
2015-09-01 13:30:00,82980,83070,82110,82260,38184
2015-09-01 13:45:00,82260,82610,82050,82540,23390
2015-09-01 14:00:00,82540,82870,82430,82720,20851
2015-09-01 14:15:00,82720,83030,82720,82910,17794
2015-09-01 14:30:00,82920,83170,82380,82450,32406
2015-09-01 14:45:00,82450,82780,82450,82480,18075
2015-09-01 15:00:00,82490,82600,82310,82450,15012
2015-09-01 15:15:00,82440,82490,82150,82380,23779
2015-09-01 15:30:00,82390,82430,81870,81960,22815
2015-09-01 15:45:00,81950,82350,81720,81930,34402
2015-09-01 16:00:00,81920,82380,81810,82170,29806
2015-09-01 16:15:00,82160,82230,81820,82030,20114
2015-09-01 16:30:00,82030,82340,81910,82110,22567
2015-09-01 16:45:00,82100,82330,81590,81750,31692
2015-09-01 17:00:00,81750,81790,81200,81320,46335
2015-09-01 17:15:00,81310,81600,80770,80970,52247
2015-09-01 17:30:00,80970,81020,80120,80190,57255
2015-09-01 17:45:00,80180,80620,80130,80150,41440
2015-09-01 18:00:00,80150,80830,79970,80790,40317
2015-09-01 18:15:00,80800,80800,80320,80330,26327
2015-09-01 18:30:00,80340,80600,79960,79980,38334
2015-09-01 19:00:00,79960,80380,79860,80180,19015
2015-09-01 19:15:00,80150,80970,80150,80410,22885
2015-09-01 19:30:00,80430,80650,80080,80270,14734
2015-09-01 19:45:00,80270,80350,79670,79690,20453
2015-09-01 20:00:00,79690,80360,79650,79850,19423
2015-09-01 20:15:00,79850,80140,79530,79840,14410
2015-09-01 20:30:00,79840,80370,79820,80170,13355
2015-09-01 20:45:00,80180,80520,80130,80260,13517
2015-09-01 21:00:00,80260,81280,80000,81050,28798
2015-09-01 21:15:00,81030,81040,79830,79980,32320
2015-09-01 21:30:00,79980,80150,79710,79850,10203
2015-09-01 21:45:00,79840,80120,79810,80020,8289
2015-09-01 22:00:00,80030,80070,79860,79910,4706
2015-09-01 22:15:00,79890,79940,79490,79500,7885
2015-09-01 22:30:00,79500,79580,78830,78980,20466
2015-09-01 22:45:00,78970,79280,78880,79040,12007
2015-09-01 23:00:00,79050,79180,79000,79090,4669
2015-09-01 23:15:00,79100,79350,79070,79230,3660
2015-09-01 23:30:00,79230,79240,78840,78910,10888
2015-09-01 23:45:00,78880,78990,78740,78780,4257
2015-09-02 10:00:00,78990,80140,78400,79910,61654
2015-09-02 10:15:00,79930,80330,79850,80070,34483
2015-09-02 10:30:00,80050,80670,80010,80330,41415
2015-09-02 10:45:00,80330,80350,79810,79990,25820
2015-09-02 11:00:00,80000,80040,79720,79970,22977
2015-09-02 11:15:00,79960,80120,79440,79470,24581
2015-09-02 11:30:00,79490,79660,79280,79490,25346
2015-09-02 11:45:00,79480,79730,79380,79500,16279
2015-09-02 12:00:00,79500,79830,79340,79530,22795
2015-09-02 12:15:00,79540,79810,79350,79640,19130
2015-09-02 12:30:00,79650,79660,79410,79580,10704
2015-09-02 12:45:00,79580,79620,79400,79430,9920
2015-09-02 13:00:00,79430,79560,79180,79190,13975
2015-09-02 13:15:00,79190,79220,78770,78920,20792
2015-09-02 13:30:00,78920,79000,78450,78590,20508
2015-09-02 13:45:00,78590,78700,78450,78630,13982
2015-09-02 14:00:00,78630,79160,78630,78990,18432
2015-09-02 14:15:00,78980,79400,78840,79300,23362
2015-09-02 14:30:00,79310,79650,79150,79160,28275
2015-09-02 14:45:00,79160,79410,79110,79350,12022
2015-09-02 15:00:00,79370,79480,79160,79370,11899
2015-09-02 15:15:00,79380,79520,79240,79380,17380
2015-09-02 15:30:00,79370,79890,79340,79780,29629
2015-09-02 15:45:00,79770,80450,79690,80320,41141
2015-09-02 16:00:00,80320,81000,80300,80510,57028
2015-09-02 16:15:00,80510,81100,80370,80860,42831
