"Index","SPFB.SI.Open","SPFB.SI.High","SPFB.SI.Low","SPFB.SI.Close","SPFB.SI.Volume"
2015-09-01 10:00:00,64582,65380,64582,65276,397410
2015-09-01 10:15:00,65276,65785,65157,65690,360283
2015-09-01 10:30:00,65690,65977,65657,65772,304269
2015-09-01 10:45:00,65773,65920,65681,65844,224775
2015-09-01 11:00:00,65844,65853,65533,65601,170027
2015-09-01 11:15:00,65599,65771,65517,65672,150877
2015-09-01 11:30:00,65672,65760,65611,65620,102743
2015-09-01 11:45:00,65620,65624,65408,65416,125492
2015-09-01 12:00:00,65416,65466,65226,65272,156424
2015-09-01 12:15:00,65272,65502,65255,65389,131849
2015-09-01 12:30:00,65388,65408,65243,65280,107579
2015-09-01 12:45:00,65281,65386,65140,65282,180233
2015-09-01 13:00:00,65281,65367,65203,65287,95055
2015-09-01 13:15:00,65287,65306,65038,65127,129700
2015-09-01 13:30:00,65125,65295,65024,65280,165249
2015-09-01 13:45:00,65280,65543,65238,65331,181143
2015-09-01 14:00:00,65338,65460,65281,65397,83061
2015-09-01 14:15:00,65393,65422,65276,65316,71317
2015-09-01 14:30:00,65316,65450,65166,65289,133585
2015-09-01 14:45:00,65289,65341,65140,65308,133305
2015-09-01 15:00:00,65308,65329,65215,65227,79687
2015-09-01 15:15:00,65223,65419,65131,65229,145877
2015-09-01 15:30:00,65227,65423,65201,65417,124060
2015-09-01 15:45:00,65418,65593,65255,65415,189024
2015-09-01 16:00:00,65418,65470,65255,65330,167918
2015-09-01 16:15:00,65330,65403,65175,65274,173109
2015-09-01 16:30:00,65273,65393,65240,65360,97979
2015-09-01 16:45:00,65365,65438,65258,65343,89946
2015-09-01 17:00:00,65338,65897,65297,65756,299600
2015-09-01 17:15:00,65757,66188,65643,66107,342128
2015-09-01 17:30:00,66109,66700,66081,66648,381952
2015-09-01 17:45:00,66653,66680,66391,66668,269482
2015-09-01 18:00:00,66668,66878,66308,66321,290109
2015-09-01 18:15:00,66323,66498,66202,66491,183258
2015-09-01 18:30:00,66485,66740,66281,66740,185982
2015-09-01 19:00:00,66750,66778,66513,66528,73343
2015-09-01 19:15:00,66528,66566,66227,66421,104786
2015-09-01 19:30:00,66419,66575,66300,66493,55356
2015-09-01 19:45:00,66499,66690,66442,66616,52859
2015-09-01 20:00:00,66616,66645,66472,66596,38212
2015-09-01 20:15:00,66600,66700,66516,66662,41072
2015-09-01 20:30:00,66662,66673,66517,66582,33281
2015-09-01 20:45:00,66579,66600,66379,66503,44591
2015-09-01 21:00:00,66503,66593,65850,65948,134495
2015-09-01 21:15:00,65951,66542,65945,66469,137041
2015-09-01 21:30:00,66462,66692,66366,66572,70406
2015-09-01 21:45:00,66576,66650,66457,66619,44457
2015-09-01 22:00:00,66615,66680,66557,66644,27992
2015-09-01 22:15:00,66641,66823,66623,66814,64298
2015-09-01 22:30:00,66811,67070,66768,67047,61532
2015-09-01 22:45:00,67041,67058,66800,66929,45812
2015-09-01 23:00:00,66925,67037,66870,66939,25284
2015-09-01 23:15:00,66940,66940,66721,66862,38455
2015-09-01 23:30:00,66863,67124,66852,67080,69470
2015-09-01 23:45:00,67078,67150,67060,67150,22924
2015-09-02 10:00:00,67150,67490,66921,67011,305398
2015-09-02 10:15:00,67010,67137,66624,66805,244664
2015-09-02 10:30:00,66805,66854,66513,66711,221139
2015-09-02 10:45:00,66711,67036,66682,66984,193886
2015-09-02 11:00:00,66985,67098,66916,66984,149907
2015-09-02 11:15:00,66978,67146,66863,67106,120220
2015-09-02 11:30:00,67103,67235,67052,67133,155143
2015-09-02 11:45:00,67135,67219,67081,67119,71377
2015-09-02 12:00:00,67115,67320,67013,67247,146912
2015-09-02 12:15:00,67246,67409,67112,67216,194680
2015-09-02 12:30:00,67217,67358,67200,67217,94949
2015-09-02 12:45:00,67221,67323,67200,67319,54019
2015-09-02 13:00:00,67318,67460,67202,67434,100182
2015-09-02 13:15:00,67435,67785,67435,67659,269129
2015-09-02 13:30:00,67661,68188,67609,68033,225058
2015-09-02 13:45:00,68034,68200,68034,68108,204107
2015-09-02 14:00:00,68108,68108,67745,67882,203178
2015-09-02 14:15:00,67878,68041,67585,67710,209944
2015-09-02 14:30:00,67710,67860,67484,67860,196257
2015-09-02 14:45:00,67861,67874,67620,67646,126787
2015-09-02 15:00:00,67646,67750,67530,67617,102412
2015-09-02 15:15:00,67617,67750,67555,67705,145885
2015-09-02 15:30:00,67705,67742,67550,67585,144051
2015-09-02 15:45:00,67590,67665,67165,67385,296537
2015-09-02 16:00:00,67385,67388,66901,67099,337330
