<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20160309,100100,71639.0000000,72610.0000000,71639.0000000,72237.0000000,37054
SPFB.Si,1,20160309,100200,72230.0000000,72306.0000000,72224.0000000,72245.0000000,19252
SPFB.Si,1,20160309,100300,72245.0000000,72364.0000000,72245.0000000,72313.0000000,10937
SPFB.Si,1,20160309,100400,72314.0000000,72329.0000000,72271.0000000,72282.0000000,8104
SPFB.Si,1,20160309,100500,72280.0000000,72360.0000000,72280.0000000,72327.0000000,8960
SPFB.Si,1,20160309,100600,72331.0000000,72368.0000000,72326.0000000,72365.0000000,10546
SPFB.Si,1,20160309,100700,72362.0000000,72388.0000000,72344.0000000,72363.0000000,10339
SPFB.Si,1,20160309,100800,72361.0000000,72380.0000000,72352.0000000,72366.0000000,3349
SPFB.Si,1,20160309,100900,72368.0000000,72385.0000000,72350.0000000,72378.0000000,3808
SPFB.Si,1,20160309,101000,72382.0000000,72384.0000000,72350.0000000,72360.0000000,4777
SPFB.Si,1,20160309,101100,72363.0000000,72378.0000000,72343.0000000,72367.0000000,6942
SPFB.Si,1,20160309,101200,72370.0000000,72390.0000000,72355.0000000,72374.0000000,6925
SPFB.Si,1,20160309,101300,72375.0000000,72442.0000000,72375.0000000,72436.0000000,9662
SPFB.Si,1,20160309,101400,72438.0000000,72493.0000000,72404.0000000,72463.0000000,10387
SPFB.Si,1,20160309,101500,72463.0000000,72473.0000000,72424.0000000,72434.0000000,7230
SPFB.Si,1,20160309,101600,72434.0000000,72460.0000000,72431.0000000,72446.0000000,5171
SPFB.Si,1,20160309,101700,72445.0000000,72472.0000000,72434.0000000,72471.0000000,5644
SPFB.Si,1,20160309,101800,72472.0000000,72545.0000000,72460.0000000,72528.0000000,9798
SPFB.Si,1,20160309,101900,72529.0000000,72578.0000000,72524.0000000,72578.0000000,8708
SPFB.Si,1,20160309,102000,72574.0000000,72596.0000000,72551.0000000,72591.0000000,8592
SPFB.Si,1,20160309,102100,72592.0000000,72621.0000000,72538.0000000,72545.0000000,12171
SPFB.Si,1,20160309,102200,72541.0000000,72599.0000000,72532.0000000,72533.0000000,7951
SPFB.Si,1,20160309,102300,72537.0000000,72543.0000000,72499.0000000,72510.0000000,8271
SPFB.Si,1,20160309,102400,72514.0000000,72545.0000000,72505.0000000,72522.0000000,6884
SPFB.Si,1,20160309,102500,72530.0000000,72538.0000000,72503.0000000,72509.0000000,2425
SPFB.Si,1,20160309,102600,72512.0000000,72539.0000000,72485.0000000,72492.0000000,4297
SPFB.Si,1,20160309,102700,72493.0000000,72514.0000000,72483.0000000,72507.0000000,3827
SPFB.Si,1,20160309,102800,72508.0000000,72517.0000000,72478.0000000,72494.0000000,2951
SPFB.Si,1,20160309,102900,72489.0000000,72520.0000000,72483.0000000,72496.0000000,3931
SPFB.Si,1,20160309,103000,72496.0000000,72497.0000000,72463.0000000,72471.0000000,5131
SPFB.Si,1,20160309,103100,72473.0000000,72506.0000000,72462.0000000,72465.0000000,6930
SPFB.Si,1,20160309,103200,72470.0000000,72480.0000000,72444.0000000,72462.0000000,3550
SPFB.Si,1,20160309,103300,72463.0000000,72472.0000000,72442.0000000,72463.0000000,3910
SPFB.Si,1,20160309,103400,72464.0000000,72494.0000000,72461.0000000,72480.0000000,2716
SPFB.Si,1,20160309,103500,72481.0000000,72486.0000000,72451.0000000,72474.0000000,4655
SPFB.Si,1,20160309,103600,72474.0000000,72488.0000000,72469.0000000,72485.0000000,4676
SPFB.Si,1,20160309,103700,72485.0000000,72522.0000000,72471.0000000,72516.0000000,5849
