"Index","sma","pos","pos.num","pos.bars","pos.add","pos.drop","pos.add.num","pos.drop.num","action","state","SPFB.SI.Open","SPFB.SI.pos","SPFB.SI.ret","SPFB.SI.cret","cret","balance","im.balance","n","diff.n","margin","commiss","equity","perfReturn","SPFB.SI.n","SPFB.SI.diff.n","SPFB.SI.commiss","SPFB.SI.margin","SPFB.SI.perfReturn","SPFB.SI.equity","SPFB.SI.balance"
2016-02-02 21:30:00,78560,1,1,0,0,0,0,0,1,1,79890,1,0,0,0,978896,21064,4,4,0,40,-40,-40,4,4,40,0,-40,-40,999960
2016-02-03 10:15:00,78915,1,1,11,1,0,1,0,0,1,80148,1,258,258,258,958824,42128,8,4,1032,40,952,992,8,4,40,1032,992,952,1000952
2016-02-03 12:15:00,79156,1,1,19,0,1,1,1,0,1,79251,1,-897,-897,-897,972672,21064,4,-4,-7176,40,-6264,-7216,4,-4,40,-7176,-7216,-6264,993736
2016-02-03 13:45:00,79300,1,1,25,0,1,1,2,0,1,79465,1,214,214,214,984040,10532,2,-2,856,20,-5428,836,2,-2,20,856,836,-5428,994572
2016-02-03 14:15:00,79338,0,1,26,0,0,0,0,1,-1,79308,0,-157,-157,-157,994238,0,0,-2,-314,20,-5762,-334,0,-2,20,-314,-334,-5762,994238
2016-02-03 14:15:00,79338,-1,2,0,0,0,0,0,1,-1,79308,-1,0,0,0,973134,21064,4,4,0,40,-5802,-40,4,4,40,0,-40,-5802,994198
2016-02-03 14:30:00,79356,-1,2,1,0,1,0,1,0,-1,79157,-1,151,151,151,984250,10532,2,-2,604,20,-5218,584,2,-2,20,604,584,-5218,994782
2016-02-03 16:15:00,79487,0,2,7,0,0,0,0,1,1,79517,0,-360,-360,-360,994042,0,0,-2,-720,20,-5958,-740,0,-2,20,-720,-740,-5958,994042
2016-02-03 16:15:00,79487,1,3,0,0,0,0,0,1,1,79517,1,0,0,0,972938,21064,4,4,0,40,-5998,-40,4,4,40,0,-40,-5998,994002
2016-02-03 16:30:00,79505,0,3,0,0,0,0,0,1,-1,79290,0,-227,-227,-227,993054,0,0,-4,-908,40,-6946,-948,0,-4,40,-908,-948,-6946,993054
2016-02-03 16:30:00,79505,-1,4,0,0,0,0,0,1,-1,79290,-1,0,0,0,971950,21064,4,4,0,40,-6986,-40,4,4,40,0,-40,-6986,993014
2016-02-03 18:15:00,79588,0,4,6,0,0,0,0,1,1,79765,0,-475,-475,-475,991074,0,0,-4,-1900,40,-8926,-1940,0,-4,40,-1900,-1940,-8926,991074
2016-02-03 18:15:00,79588,1,5,0,0,0,0,0,1,1,79765,1,0,0,0,969970,21064,4,4,0,40,-8966,-40,4,4,40,0,-40,-8966,991034
2016-02-03 19:15:00,79626,0,5,2,0,0,0,0,1,-1,79314,0,-451,-451,-451,989190,0,0,-4,-1804,40,-10810,-1844,0,-4,40,-1804,-1844,-10810,989190
2016-02-03 19:15:00,79626,-1,6,0,0,0,0,0,1,-1,79314,-1,0,0,0,968086,21064,4,4,0,40,-10850,-40,4,4,40,0,-40,-10850,989150
